reaction	linear_coefficient
r_0319	[0.30437269460466515, 1.0, 0.2702235781413891]
r_0320	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0321	[0.007833829632101367, 0.017398581458162053, 0.015449162565077869]
r_0322	[0.019860254573854395, 0.018018470374519993, 0.01877140433298415]
r_0323	[0.09444630893547903, 0.12013963462201872, 0.11513325128690034]
r_0324	[0.18226420819837663, 0.504144214138344, 1.0]
r_0325	[0.0049494432439269875, 0.008958129695252955, 0.0050843767596673506]
r_0326	[0.0049494432439269875, 0.004834761456979342, 0.0050843767596673506]
r_0327	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0328	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0329	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0330	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0331	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0332	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0333	[0.46227715437107214, 0.3446390473479983, 0.6868450420055671]
r_0334	[0.46227715437107214, 0.3446390473479983, 0.6868450420055671]
r_0335	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0336	[0.0008290620332327621, 0.0009659904522098618, 0.0010322046229306232]
r_0337	[0.004045366902181948, 0.00483734743657872, 0.0050843767596673506]
r_0338	[0.004045366902181948, 0.00483734743657872, 0.0050843767596673506]
r_0339	[0.004045366902181948, 0.00483734743657872, 0.0050843767596673506]
r_0340	[0.0038676091201329467, 0.002189164117523241, 0.003030039199576953]
r_0341	[0.0008901662708121091, 0.0010047335094822273, 0.0013071874719634057]
r_0342	[0.003201017437449174, 0.003600518346730992, 0.004214149018881382]
r_0343	[0.0033176709819188336, 0.0035174975097187707, 0.003967225644239699]
r_0344	[0.001112363498373361, 0.0013312821350636307, 0.0014082015797713663]
r_0345	[0.00046243660775668855, 0.0005398168222137951, 0.0006337600865769985]
r_0346	[0.004423102189036087, 0.00483734743657872, 0.0050843767596673506]
r_0347	[0.019860254573854395, 0.018848678744642154, 0.01877140433298415]
r_0348	[0.008011587414150355, 0.00893045608291553, 0.010179593274429292]
r_0349	[0.011444534579971796, 0.010651754770302236, 0.010179593274429292]
r_0350	[0.019860254573854395, 0.017398581458162053, 0.015449162565077869]
