gene_name	0pc_KM-1	0pc_KM-2	0pc_KM-3	0pc_100d-1	0pc_100d-2	0pc_100d-3	4pc_KM-1	4pc_KM-2	4pc_KM-3	4pc_100d-1	4pc_100d-2	4pc_100d-3	6pc_KM-1	6pc_KM-2	6pc_KM-3	6pc_100d-1	6pc_100d-2	6pc_100d-3
SES1	954.29204	929.43361	1152.8551	850.33819	1754.7732	1918.8287	480.02226	523.44981	597.83585	708.78255	524.53713	525.42267	1997.4958	1857.6278	1795.9664	2022.1078	1974.2361	2090.974
SET1	131.84298	106.60541	127.97552	721.16002	539.85947	460.82482	304.56585	323.99889	373.11741	616.56576	596.49152	494.58025	306.9438	290.11045	320.61883	522.10161	478.77338	528.89343
SET2	118.24013	97.290378	96.788211	314.29964	380.75268	285.86436	280.28886	283.93451	238.49834	315.25275	252.3618	297.40906	185.11072	241.29821	233.78456	311.6035	306.97823	320.82102
SET3	154.86318	129.3755	198.95355	253.27059	366.0376	222.76387	308.97985	298.74091	331.7777	278.79495	249.23335	272.07421	111.44421	116.96516	127.74657	261.87954	280.22324	257.27181
SET5	336.93206	362.25141	301.11888	724.21147	817.6066	753.38166	483.33276	483.38543	484.41664	700.20425	798.79809	653.19841	376.83255	664.03058	686.32469	643.09658	598.46673	618.06733
SET6	456.21856	471.96183	433.3961	560.45017	727.47674	626.2246	326.63584	319.64406	367.81745	301.31301	253.40462	326.04845	292.77717	283.66355	293.06565	226.24403	240.79485	230.62214
SEY1	936.5037	928.39861	975.41008	1187.0152	1051.2085	999.09116	187.59491	213.38636	230.0184	440.71048	386.88524	411.96662	575.16547	585.74681	631.21832	636.46672	712.52745	718.51608
SFA1	1401.0932	1531.806	1260.3976	3880.4309	2121.7305	2025.9083	2035.9565	2165.2184	2239.7644	1847.5527	1800.9456	1843.9362	2857.8829	2471.9252	2970.7339	3637.3079	3551.372	3517.7563
SFB3	41.854914	34.155133	30.111888	32.54883	61.619395	68.836903	61.795969	65.322356	64.659551	52.542126	42.755511	51.771206	124.66641	140.91079	130.2514	136.7409	125.32597	152.7231
SFC1	703.16255	745.20289	663.53696	985.61927	1404.3704	1339.4514	406.0878	425.0308	394.31726	909.30046	635.07576	757.84234	1196.6086	882.30415	952.6721	1049.1756	1044.8525	1176.6854
SFH1	775.36228	806.26813	583.95554	1383.3253	1419.0855	1263.922	284.70286	315.28924	628.57564	745.24035	687.21663	621.25447	413.6658	571.01104	634.5581	569.33937	526.65072	585.26773
SFH5	207.18182	160.42562	195.72727	115.95521	160.94618	167.31192	135.73043	141.96725	179.13876	155.4818	208.56347	152.00907	293.72161	254.19201	232.11467	381.21705	359.08004	341.32076
SFI1	125.56474	139.72554	149.48401	617.41062	413.86161	254.31411	81.65896	74.902968	84.799411	174.78299	140.78034	171.83634	208.72179	187.88105	230.44478	306.6311	306.97823	245.99695
SFK1	771.17679	938.74865	710.85564	273.6136	819.44598	1085.1373	10613.458	9404.6773	8829.7387	5361.4414	6330.9441	6094.6826	1406.2748	1200.9651	1289.1549	1828.1844	1512.3606	1471.8817
SFL1	54.411388	50.715197	38.715284	278.69936	253.83512	282.99616	294.63435	331.83757	332.83769	313.10818	273.21814	338.16511	198.33292	234.85131	264.67752	276.79673	285.85587	278.79654
SFP1	837.09828	847.66829	718.38361	1699.6592	1423.6839	1414.0247	460.15927	425.0308	597.83585	794.56561	726.84369	801.90294	489.2212	851.91163	927.62375	602.48868	509.75284	611.9174
SFT2	144.39945	168.70566	100.01448	245.13338	237.28065	203.6425	155.59342	167.22523	160.05889	186.57816	190.83557	188.35907	159.61078	156.56754	151.95997	166.57527	181.65225	166.04794
SGA1	369.36961	586.84728	369.94605	1077.1629	792.7749	657.77485	1555.9342	1311.6729	1322.8708	1517.2879	1342.1059	1474.9286	999.22014	657.58368	779.00357	1328.4585	1460.2588	1159.2606
