Genes	SRR5318962	SRR5318963	SRR5318964	SRR5318965	SRR5318966	SRR5318967	SRR5318968	SRR5318969	SRR5318970	SRR5318971	SRR5318972	SRR5318973	SRR5318974	SRR5318975	SRR5318976	SRR5318977	SRR5318978	SRR5318979
KLMA_40158	83.4707575494042	94.7459438388605	46.255577253383	49.7578587499633	35.4330333743892	27.7791187639143	44.556376681391	37.0678444042144	33.0361908441031	28.6124190038261	58.6373926466056	41.3531724796838	59.9717976058962	63.4744384659922	49.3065969353804	61.5943967418856	45.7956266224626	25.846774708144
KLMA_40159	178.534675869559	182.957684654351	188.701729931415	194.558818483003	90.5510852901058	91.5076853399532	154.68628885615	147.388809892948	167.583586281905	186.934470824997	75.0558625876552	80.2738054017392	102.304831210058	145.617829421982	183.138788617127	185.845162583275	67.0578818400346	70.6478508689268
KLMA_40160	165.395760329375	154.370546427109	110.382627536482	111.25633585666	59.055055623982	43.3027439555135	157.208347913587	144.741106721218	97.9072565016146	108.727192214539	43.7825865094655	43.7857120373123	126.999100812486	145.617829421982	90.5631372282496	94.5155398280658	34.346719966847	49.9704311024117
KLMA_40161	2590.6849935704	2507.50041021812	1762.44261966583	1642.5684158134	2003.93488750712	1951.07457671257	1730.97319975442	1771.3134218871	2972.65651795393	3017.02062607011	2187.56566166937	2311.72342626625	2127.23493860914	2042.38340240575	2138.29629566701	2055.97848434984	1941.40745717368	1897.15326357777
KLMA_40162	251.185150032929	236.864859597151	202.368150483551	252.702833202061	166.141556488803	156.870317725634	152.164229798713	151.801648512497	362.797441269786	352.886501047188	195.457975488685	210.820094994467	335.136516032949	224.027429879972	242.507956355646	242.129697537067	170.098041740575	172.311831387626
KLMA_40163	102.792692167322	86.5781900596484	95.1393123052537	111.25633585666	151.968343139047	117.652738294225	117.696089347071	104.142991421364	133.946737422454	130.345464350763	129.002263822532	125.68121047747	88.1938200086709	108.279924441987	117.732078396725	88.1437056823535	93.2268113385846	137.849465110101
KLMA_40164	1031.7913085968	1030.77052693657	921.432124149777	962.730705252099	1214.95934437072	1239.43891661347	897.012338095174	966.411657681303	1073.37587342568	1077.73444914412	1268.91317687255	1281.9483468702	1037.15932330197	1030.52617744787	1098.83273170276	1078.96391534062	1211.9485474016	1249.26077756029
KLMA_40166	6.18301907773364	13.0684060467394	14.1920521118334	10.0633871629139	34.6456326327361	32.6813161928404	26.0612769268514	29.1247348890256	14.4157923683359	15.2599568020406	28.1459484703707	30.001321210751	24.6942696024278	26.1365334859968	28.1751982487888	19.1155024371369	44.1600685288033	31.0161296497728
KLMA_40167	51.7827847760193	31.037464361006	69.908997439772	73.2390954634291	51.9684489491042	77.618125957996	24.3799042218932	44.1283861954933	82.290148102584	73.1206263431111	71.1467030778815	65.6785680559684	21.166516802081	22.4027429879972	62.3879389794609	36.1070601590364	60.515649465397	62.0322592995455
KLMA_40168	153.802599558624	178.873807764745	354.801302795835	321.469312148639	1114.17204943913	1123.42024412889	201.764724594978	191.517196088441	317.147432103389	347.799848779842	745.867634464823	775.169272364269	335.136516032949	205.358477389975	324.014779861071	333.459320292277	1179.23738552841	1087.28765605592
KLMA_40169	13.138915540184	22.0529352038727	55.1913137682411	68.2074018819722	64.5668608155537	62.0945007663968	42.0343176239538	30.8898703368453	57.6631694733435	62.311490274999	47.6917460192392	52.7050237486166	42.333033604162	44.8054859759945	44.2753115338109	57.3465073114107	40.8889523414845	43.0779578469066
KLMA_40170	17.0033024637675	20.4193844480303	33.1147882609446	25.7175449718911	27.5590259578583	26.9620858590933	3.3627454099163	7.06054179127893	11.4125022915992	6.35831533418357	10.9456466273664	13.7843908265613	35.2775280034683	37.3379049799954	29.1814553291027	22.301419509993	17.9911390302532	20.6774197665152
KLMA_40171	131.38915540184	124.149857444024	73.0627867979572	61.4984771066962	38.5826363410016	47.3879084796186	57.1666719685772	51.1889279867722	27.6302687059771	40.6932181387749	43.0007546075108	42.9748655181028	151.693370414914	97.078552947988	45.2815686141248	62.6563690995043	45.7956266224626	53.4166677301642
KLMA_40172	274.37147157443	263.818447068551	101.972522581322	84.979713820162	59.8424563656351	66.9966981953228	228.666687874309	210.933686014458	65.4717236728588	58.4965010744889	42.218922705556	59.1917959022925	349.247527234337	421.918326273948	90.5631372282496	95.5775121856845	75.2356723083315	93.0483889493183
KLMA_40173	160.758496021075	163.355075584242	449.414983541392	417.630567260928	759.841715695236	731.244449814804	328.708363819319	305.368432472814	491.338256554115	479.416976197442	601.228732603196	610.567428964743	229.303932022544	205.358477389975	587.654134903309	541.605902385546	502.11633475343	494.534956082488
KLMA_40174	1391.95216987479	1337.06129365702	1588.45857340595	1530.75300289213	2730.70577205293	2664.34430262131	647.328491408888	670.751470171498	1702.86547350968	1716.74514022957	2902.94185195796	2941.75117169202	5609.12695255147	6093.54609273525	3524.91855233954	3540.6158403008	8428.03085662678	8729.31737809716
KLMA_40175	221.042932028978	207.460945991988	170.830256901699	184.495431320089	157.480148330619	169.125811297949	180.747565783001	172.100706162424	109.920416808561	100.4613822801	139.166078547944	128.924596554308	490.35763924821	433.119697767946	176.09498905493	203.898692662794	291.12934067137	244.68280057043
KLMA_40176	1770.66208838597	1670.30564784888	827.344074963919	777.117119802798	484.251456116653	480.415348034754	1713.31878635236	1829.56289166515	1077.58047953311	1090.45107981248	444.862352212248	441.91135296917	1718.01561376891	1751.14774356178	1269.89643535612	1306.22599987102	588.800913717377	539.336032243271
KLMA_40177	192.44646879446	227.880330440018	191.8555192896	234.253290070052	195.275383929967	189.551633918474	276.585809965616	261.24004627732	172.388850404683	204.101922227293	158.711876096813	173.52115511083	218.720673621504	220.293639381973	188.170074018696	182.659245510419	186.453622677169	210.220434292904
KLMA_40178	5393.13839055317	5640.65075992388	1185.82479867764	1231.08769626314	412.597988626221	405.248320791221	2917.18164310239	2970.72295868061	1668.62796663488	1693.8552050265	412.807244232104	437.046273853913	3453.66999153955	3446.28862965357	1428.88505404572	1423.04295920908	346.738315855789	358.408609286263
KLMA_40179	1327.03046955858	1372.99941028556	590.284241540331	577.526607738338	781.888936461522	760.657634388361	1025.63735002447	1059.08126869184	508.15668098384	539.820971872186	633.283840583341	625.162666310514	1188.85269371688	1168.67642587386	596.710448626134	637.18341457123	518.471915690023	528.997322360013
KLMA_40180	26.277831080368	40.8387688960606	40.4736300967101	58.1440147190582	53.5432504324104	60.4604349567548	59.6887310260144	58.2494697780512	58.2638274886909	56.5890064742338	63.3283840583341	51.0833307101977	35.2775280034683	29.8703239839963	68.4254814613442	67.9662308875979	50.7023009034408	22.4005380803914
KLMA_40181	34.7794823122517	42.472319651903	53.6144190891485	54.7895523314203	46.4566437575325	66.9966981953228	44.556376681391	47.6586570911328	33.0361908441031	37.5140604716831	57.8555607446509	81.8954984401581	52.9162920052025	56.0068574699931	33.2064836503582	47.7887560928422	60.515649465397	87.8790340076895
KLMA_40182	407.306381745704	453.310334746272	453.620036018972	426.016723230023	281.102064770154	323.54503030912	488.438770790343	476.586570911328	502.750758845714	523.289352003308	361.988170605045	364.880933644269	306.914493630175	343.508725815958	262.633097961924	324.963541431327	261.689294985501	241.236563942677
KLMA_40183	187.809204486159	176.423481630982	165.048309745026	119.642491825754	136.220328305985	158.504383535276	327.026991114361	328.31519329447	216.837543540386	237.800993498466	178.257673645681	143.519833900079	186.970898418382	126.948876931984	214.332758106857	175.225439007088	111.217950368838	106.833335460328
KLMA_40184	20.0948120026343	21.2361598259515	63.0757871637041	63.7347853651215	133.858126081026	116.018672484583	30.2647086892467	29.1247348890256	76.2835679491107	73.7564578765295	130.565927626442	114.329359208538	17.6387640017342	7.46758099599908	52.325368176322	57.3465073114107	80.1423465893096	99.9408622048233
KLMA_40185	110.521466014489	98.8298207284665	157.68946790926	151.509884508315	241.7320276875	247.560970160766	145.43873897888	130.62002313866	174.791482466073	163.408704088518	253.313536233336	270.011890896759	77.6105616076304	74.6758099599908	148.926047886455	157.17190892757	171.733599834235	163.696239818245
KLMA_40186	387.984447127786	338.961781837303	408.415721884984	363.400091994114	547.2435154489	576.825230803633	368.220622385835	352.144521840037	348.381648901451	342.077364979076	515.227223388175	473.53436721834	289.27572962844	362.177678305955	456.840714462504	431.160777193199	593.707587998355	608.260764798321
