gene_id	gene_name
KLMA_20526	CAP2
KLMA_20527	ERG28
KLMA_20528	PKAR
KLMA_20529	IRC5
KLMA_20530	RSC8
KLMA_20532	PEX7
KLMA_20533	SAN1
KLMA_20534	YPS1
KLMA_20537	SUE1
KLMA_20538	CAF130
KLMA_20539	URN1
KLMA_20540	PRE9
KLMA_20542	PIN3
KLMA_20543	NCA2
KLMA_20544	TPO3
KLMA_20545	CBF2
KLMA_20546	VPS62
KLMA_20549	KRE6
KLMA_20550	SPP41
KLMA_20551	CYP707A7
KLMA_20552	RMT2
KLMA_20553	SOD2
KLMA_20554	PKH3
KLMA_20555	TDA3
KLMA_20556	UGO1
KLMA_20558	RPL27A
KLMA_20559	DIA4
KLMA_20560	VPS29
KLMA_20561	ARD1
KLMA_20562	TRS31
KLMA_20564	ELG1
KLMA_20565	SPT3
KLMA_20566	THI80
KLMA_20568	LSC1
KLMA_20571	ARP8
KLMA_20572	SFL1
KLMA_20573	RUP1
KLMA_20574	SIA1
KLMA_20575	IDH2
KLMA_20577	UBA2
KLMA_20578	SAC7
KLMA_20579	RVS167
KLMA_20581	MUS81
KLMA_20582	EFT1
KLMA_20584	VPS17
