reaction	linear_coefficient
r_0036_EXP_2	[0.0029263740175228567, 0.0029251970894388717, 0.003625692667841626, 0.0033920005682580023, 0.0057745136380545235, 0.006727939132984496]
r_0037_EXP_1	[0.008023698228707295, 0.008535018823966366, 0.01267992033561371, 0.013405474225061324, 0.0069602327631134876, 0.006284263217645304]
r_0037_EXP_2	[0.0022702827824199094, 0.0023571138758158344, 0.0030539435327084923, 0.003116612983297089, 0.0034595382034155716, 0.003356002176406673]
r_0037_EXP_3	[0.00474324205319256, 0.005162024743079593, 0.002555968479528026, 0.0026248494387240365, 0.0034030753879365667, 0.0030010614441353402]
r_0037_REV_EXP_1	[0.008023698228707295, 0.008535018823966366, 0.01267992033561371, 0.013405474225061324, 0.0069602327631134876, 0.006284263217645304]
r_0037_REV_EXP_2	[0.0022702827824199094, 0.0023571138758158344, 0.0030539435327084923, 0.003116612983297089, 0.0034595382034155716, 0.003356002176406673]
r_0037_REV_EXP_3	[0.00474324205319256, 0.005162024743079593, 0.002555968479528026, 0.0026248494387240365, 0.0034030753879365667, 0.0030010614441353402]
r_0038_EXP_1	[0.008023698228707295, 0.008535018823966366, 0.01267992033561371, 0.013405474225061324, 0.0069602327631134876, 0.006284263217645304]
r_0038_EXP_2	[0.0022702827824199094, 0.0023571138758158344, 0.0030539435327084923, 0.003116612983297089, 0.0034595382034155716, 0.003356002176406673]
r_0038_EXP_3	[0.00474324205319256, 0.005162024743079593, 0.002555968479528026, 0.0026248494387240365, 0.0034030753879365667, 0.0030010614441353402]
r_0038_REV_EXP_1	[0.008023698228707295, 0.008535018823966366, 0.01267992033561371, 0.013405474225061324, 0.0069602327631134876, 0.006284263217645304]
r_0038_REV_EXP_2	[0.0022702827824199094, 0.0023571138758158344, 0.0030539435327084923, 0.003116612983297089, 0.0034595382034155716, 0.003356002176406673]
r_0038_REV_EXP_3	[0.00474324205319256, 0.005162024743079593, 0.002555968479528026, 0.0026248494387240365, 0.0034030753879365667, 0.0030010614441353402]
r_0039	[0.0007730489382106182, 0.0009014006409067981, 0.0007485034716878176, 0.0007364774275635276, 0.0005234717985076494, 0.0005756331069477798]
r_0040_EXP_1	[0.002421688452059051, 0.0023571138758158344, 0.001965775823906734, 0.0017396750584925476, 0.001850347962264115, 0.0018179256698975012]
r_0040_EXP_2	[0.878118435940492, 0.8598609722393655, 0.6883045037500065, 0.7058663887199677, 0.4780577337121377, 0.13344178055385603]
r_0041_EXP_1	[0.002421688452059051, 0.0023571138758158344, 0.001965775823906734, 0.0017396750584925476, 0.001850347962264115, 0.0018179256698975012]
r_0041_EXP_2	[0.878118435940492, 0.8598609722393655, 0.6883045037500065, 0.7058663887199677, 0.4780577337121377, 0.13344178055385603]
r_0042	[0.008747080872538754, 0.007966935610343345, 0.009546062744542701, 0.008486670890034777, 0.0069602327631134876, 0.007053301470899904]
r_0043	[0.008747080872538754, 0.007966935610343345, 0.009546062744542701, 0.008486670890034777, 0.0069602327631134876, 0.007053301470899904]
r_0044	[0.001967471443141626, 0.0018422884634699572, 0.0011727044429156199, 0.001306923139268266, 0.0014268768461716279, 0.0015221417263380427]
r_0045_EXP_1	[0.008948955098724294, 0.010079495061004013, 0.011021544383595955, 0.011004500238248796, 0.008117720480432949, 0.008295594033849623]
r_0045_EXP_2	[0.007586304071971995, 0.006990542586928752, 0.01267992033561371, 0.013405474225061324, 0.014102778921206803, 0.014122537721970928]
r_0046	[0.008747080872538754, 0.007966935610343345, 0.009546062744542701, 0.008486670890034777, 0.0069602327631134876, 0.007053301470899904]
r_0046_REV	[0.008747080872538754, 0.007966935610343345, 0.009546062744542701, 0.008486670890034777, 0.0069602327631134876, 0.007053301470899904]
r_0047	[0.0031114253915262534, 0.0031027230936960717, 0.0031092740941729862, 0.0034116711100409132, 0.003516001018894577, 0.005071549049051539]
r_0047_REV	[0.0031114253915262534, 0.0031027230936960717, 0.0031092740941729862, 0.0034116711100409132, 0.003516001018894577, 0.005071549049051539]
r_0048_EXP_1	[0.004490899270460658, 0.00448742592690222, 0.0031092740941729862, 0.003116612983297089, 0.007581323733382457, 0.007112458259611784]
r_0048_EXP_2	[0.0022702827824199094, 0.002321608674964396, 0.0014309137297499352, 0.00146428747353164, 0.0025279017480120992, 0.002291179979592634]
r_0048_REV_EXP_1	[0.004490899270460658, 0.00448742592690222, 0.0031092740941729862, 0.003116612983297089, 0.007581323733382457, 0.007112458259611784]
r_0048_REV_EXP_2	[0.0022702827824199094, 0.002321608674964396, 0.0014309137297499352, 0.00146428747353164, 0.0025279017480120992, 0.002291179979592634]
r_0049_EXP_1	[0.012095630718949209, 0.012391315097152536, 0.00534094007324099, 0.004808279576628392, 0.012126580379441856, 0.011933736539630944]
r_0049_EXP_2	[0.0029263740175228567, 0.0029251970894388717, 0.003625692667841626, 0.0033920005682580023, 0.0057745136380545235, 0.006727939132984496]
r_0050_EXP_1	[0.012095630718949209, 0.012391315097152536, 0.00534094007324099, 0.004808279576628392, 0.012126580379441856, 0.011933736539630944]
